num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
39,entry.res3.0,ConvNd,"entry.m3.0.Threshold, entry.res3.0.Parameter",1,256,37,37,728,19,19,1,1,1,1,1,2,2,1,1,1,1,0,0,0,1,0,0.000399918,7.53557E-07,4.08363E-06,-0.000126314,0.000109418,-3.85419E-08,3.54197E-06,-0.062498745,0.062499985,-0.00013789,0.036136778,0,0,0,0,0,0,1444,256,728,4,1401856,1051232,186368,0,186368,269115392,0.95%,2639456,101.9586581,18,301989888,89.11%,256,256,256,4608,89.11%,0.00%,5,1,164,6,3,301989888,89.11%,256,256,164,4608,89.11%,4106.375,0,0,0,0,0,0
44,middle.0.m.1.conv2,ConvNd,"middle.0.m.1.conv1.Filter, middle.0.m.1.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.012397231,0.01237276,-0.000205175,0.00731558,-0.015609182,0.012457959,-3.90043E-05,0.004132007,-0.037062407,0.037062407,-5.87832E-05,0.021382742,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
48,middle.0.m.4.conv2,ConvNd,"middle.0.m.4.conv1.Filter, middle.0.m.4.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.012422571,0.012360841,0.000236193,0.007270005,-0.01536539,0.012235053,4.65607E-05,0.004198966,-0.037062421,0.037062377,-2.8237E-06,0.021419702,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
52,middle.0.m.7.conv2,ConvNd,"middle.0.m.7.conv1.Filter, middle.0.m.7.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.012442682,0.012399654,-0.000171417,0.00725821,-0.012223133,0.013560375,0.000299222,0.004220625,-0.037062239,0.037062243,2.66541E-05,0.021397598,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
57,middle.1.m.1.conv2,ConvNd,"middle.1.m.1.conv1.Filter, middle.1.m.1.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.012315247,0.01249969,-8.71949E-05,0.007082477,-0.010333047,0.013271485,7.49887E-05,0.004248425,-0.037062403,0.03706231,1.27426E-05,0.02140115,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
61,middle.1.m.4.conv2,ConvNd,"middle.1.m.4.conv1.Filter, middle.1.m.4.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.01244349,0.012721907,0.000253901,0.007062069,-0.012526363,0.013270147,-0.000257758,0.004002942,-0.037062135,0.03706244,-6.87314E-05,0.021425059,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
65,middle.1.m.7.conv2,ConvNd,"middle.1.m.7.conv1.Filter, middle.1.m.7.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.013004364,0.012397105,-8.92186E-05,0.007242439,-0.012749363,0.013197682,2.87348E-05,0.004232589,-0.037062358,0.037061736,-1.60843E-05,0.02137081,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
70,middle.2.m.1.conv2,ConvNd,"middle.2.m.1.conv1.Filter, middle.2.m.1.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.013846739,0.012537881,-1.3896E-05,0.007236186,-0.012914438,0.013309736,-0.000102513,0.004102455,-0.037062455,0.037062448,-6.11208E-06,0.021374859,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
74,middle.2.m.4.conv2,ConvNd,"middle.2.m.4.conv1.Filter, middle.2.m.4.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.013009962,0.013264067,0.000238884,0.007044586,-0.011006838,0.011685729,9.50087E-05,0.004061127,-0.037062321,0.037062369,2.33691E-05,0.021389988,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
78,middle.2.m.7.conv2,ConvNd,"middle.2.m.7.conv1.Filter, middle.2.m.7.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.013765309,0.01295608,-0.000188849,0.007333659,-0.014021198,0.012466321,-2.80886E-05,0.004165256,-0.037062392,0.037062339,2.73683E-05,0.021428213,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
83,middle.3.m.1.conv2,ConvNd,"middle.3.m.1.conv1.Filter, middle.3.m.1.conv2.Parameter",1,728,19,19,728,19,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.013888074,0.013791634,-0.000121228,0.006974932,-0.011500045,0.015112516,9.61597E-06,0.003915139,-0.03706238,0.037062407,9.61459E-06,0.021402755,0,0,0,0,0,0,1444,728,728,4,1051232,1051232,529984,0,529984,765296896,2.70%,2632448,290.7168142,54,905969664,84.47%,256,256,256,13824,84.47%,-4.64%,5,1,164,6,3,858783744,89.11%,728,256,164,13104,89.11%,11677.50391,0,0,0,0,0,0
