num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
276,Mixed_7b.branch_pool.conv,ConvNd,"Mixed_7b.branch_pool.conv.AvgPool2d, Mixed_7b.branch_pool.conv.Parameter",1,1280,8,8,192,8,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,3.430824518,0.748062649,0.520321775,-10.40585899,12.51434898,-0.102717217,2.981026258,-0.19999513,0.199997842,-3.68232E-05,0.088146357,0,0,0,0,0,0,256,1280,192,4,327680,49152,245760,0,245760,62914560,0.28%,622592,101.0526316,5,83886080,75.00%,256,256,256,1280,75.00%,0.00%,1,0,0,1,1,83886080,75.00%,1280,256,0,1280,75.00%,960,0,0,0,0,0,0
280,Mixed_7c.branch1x1.conv,ConvNd,"Mixed_7b.Concat, Mixed_7c.branch1x1.conv.Parameter",1,2048,8,8,320,8,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4.371937275,0.399560544,0.58287609,-12.36926842,11.85385704,-0.057329289,2.74106409,-0.199999034,0.199996859,-7.05558E-05,0.088006928,0,0,0,0,0,0,256,2048,320,4,524288,81920,655360,0,655360,167772160,0.73%,1261568,132.987013,16,268435456,62.50%,256,256,256,4096,62.50%,0.00%,1,0,0,1,2,268435456,62.50%,2048,256,0,4096,62.50%,2560,0,0,0,0,0,0
283,Mixed_7c.branch3x3_1.conv,ConvNd,"Mixed_7b.Concat, Mixed_7c.branch3x3_1.conv.Parameter",1,2048,8,8,384,8,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4.371937275,0.399560544,0.58287609,-12.98899937,12.06092358,-0.031794257,2.83104943,-0.199997067,0.199998006,-4.03395E-05,0.088060964,0,0,0,0,0,0,256,2048,384,4,524288,98304,786432,0,786432,201326592,0.88%,1409024,142.8837209,16,268435456,75.00%,256,256,256,4096,75.00%,0.00%,1,0,0,1,2,268435456,75.00%,2048,256,0,4096,75.00%,3072,0,0,0,0,0,0
286,Mixed_7c.branch3x3_2a.conv,ConvNd,"Mixed_7c.branch3x3_1.Threshold, Mixed_7c.branch3x3_2a.conv.Parameter",1,384,8,8,384,8,8,1,1,1,3,1,1,1,1,1,1,1,0,1,0,1,0,3.834390163,0.400060415,0.581267578,-8.235033989,8.098353386,-0.012152095,2.042562857,-0.199993193,0.199995905,-2.75254E-05,0.088107896,0,0,0,0,0,0,256,1152,384,4,98304,98304,442368,0,442368,113246208,0.50%,638976,177.2307692,10,167772160,67.50%,256,256,256,2560,67.50%,-7.50%,1,0,0,1,2,150994944,75.00%,1152,256,0,2304,75.00%,1728,0,0,0,0,0,0
289,Mixed_7c.branch3x3_2b.conv,ConvNd,"Mixed_7c.branch3x3_1.Threshold, Mixed_7c.branch3x3_2b.conv.Parameter",1,384,8,8,384,8,8,1,1,3,1,1,1,1,1,1,1,1,1,0,0,1,0,3.834390163,0.400060415,0.581267578,-9.281488419,10.01618481,0.036313506,2.00574386,-0.1999861,0.199991286,5.61352E-05,0.08801818,0,0,0,0,0,0,256,1152,384,4,98304,98304,442368,0,442368,113246208,0.50%,638976,177.2307692,10,167772160,67.50%,256,256,256,2560,67.50%,-7.50%,1,0,0,1,2,150994944,75.00%,1152,256,0,2304,75.00%,1728,0,0,0,0,0,0
293,Mixed_7c.branch3x3dbl_1.conv,ConvNd,"Mixed_7b.Concat, Mixed_7c.branch3x3dbl_1.conv.Parameter",1,2048,8,8,448,8,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4.371937275,0.399560544,0.58287609,-11.92376423,13.43388653,0.12793834,2.869628609,-0.19999896,0.19999902,0.000157719,0.087947994,0,0,0,0,0,0,256,2048,448,4,524288,114688,917504,0,917504,234881024,1.03%,1556480,150.9052632,16,268435456,87.50%,256,256,256,4096,87.50%,0.00%,1,0,0,1,2,268435456,87.50%,2048,256,0,4096,87.50%,3584,0,0,0,0,0,0
296,Mixed_7c.branch3x3dbl_2.conv,ConvNd,"Mixed_7c.branch3x3dbl_1.Threshold, Mixed_7c.branch3x3dbl_2.conv.Parameter",1,448,8,8,384,8,8,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,3.995019913,0.399600251,0.58460662,-16.43387413,17.58079529,0.023890976,3.663807291,-0.199998766,0.199999839,2.33584E-05,0.087984055,0,0,0,0,0,0,256,4032,384,4,114688,98304,1548288,0,1548288,396361728,1.74%,1761280,225.0418605,32,536870912,73.83%,256,256,256,8192,73.83%,-1.17%,1,0,0,1,2,528482304,75.00%,4032,256,0,8064,75.00%,6048,0,0,0,0,0,0
299,Mixed_7c.branch3x3dbl_3a.conv,ConvNd,"Mixed_7c.branch3x3dbl_2.Threshold, Mixed_7c.branch3x3dbl_3a.conv.Parameter",1,384,8,8,384,8,8,1,1,1,3,1,1,1,1,1,1,1,0,1,0,1,0,4.53089571,0.39843364,0.584898289,-9.338938713,8.209198952,0.029812134,2.03826843,-0.199994057,0.199998587,6.94257E-05,0.087917133,0,0,0,0,0,0,256,1152,384,4,98304,98304,442368,0,442368,113246208,0.50%,638976,177.2307692,10,167772160,67.50%,256,256,256,2560,67.50%,-7.50%,1,0,0,1,2,150994944,75.00%,1152,256,0,2304,75.00%,1728,0,0,0,0,0,0
302,Mixed_7c.branch3x3dbl_3b.conv,ConvNd,"Mixed_7c.branch3x3dbl_2.Threshold, Mixed_7c.branch3x3dbl_3b.conv.Parameter",1,384,8,8,384,8,8,1,1,3,1,1,1,1,1,1,1,1,1,0,0,1,0,4.53089571,0.39843364,0.584898289,-10.15225983,10.20277596,0.036254454,2.05846739,-0.199985966,0.199990854,8.42639E-05,0.08797843,0,0,0,0,0,0,256,1152,384,4,98304,98304,442368,0,442368,113246208,0.50%,638976,177.2307692,10,167772160,67.50%,256,256,256,2560,67.50%,-7.50%,1,0,0,1,2,150994944,75.00%,1152,256,0,2304,75.00%,1728,0,0,0,0,0,0
307,Mixed_7c.branch_pool.conv,ConvNd,"Mixed_7c.branch_pool.conv.AvgPool2d, Mixed_7c.branch_pool.conv.Parameter",1,2048,8,8,192,8,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1.946944594,0.337628215,0.255492033,-9.018090248,7.636164188,0.040696756,1.645985112,-0.199976802,0.199994326,4.6574E-05,0.088061739,0,0,0,0,0,0,256,2048,192,4,524288,49152,393216,0,393216,100663296,0.44%,966656,104.1355932,8,134217728,75.00%,256,256,256,2048,75.00%,0.00%,1,0,0,1,1,134217728,75.00%,2048,256,0,2048,75.00%,1536,0,0,0,0,0,0
314,fc,Linear,"fc.View, fc.Parameter, fc.Parameter",1,2048,1,1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.901442766,0.402888497,0.399987451,-6.146484375,7.080399513,0.003056388,2.243754563,0,0,0,0,-0.022071479,0.02208552,0.000528613,0.012565702,1,0,4,2048,1000,4,8192,4000,0,1000,1000,0,0.00%,13192,0,32,536870912,0.00%,256,256,256,0,0.00%,0.00%,0,1,4,1,4,536870912,0.00%,2048,256,4,0,0.00%,0,0,0,0,0,0,0
