num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
104,layer3.2.conv2,ConvNd,"layer3.2.relu.Threshold, layer3.2.conv2.Parameter",1,256,14,14,256,14,14,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,9.024543762,0.343928004,0.620815433,-7.412388325,7.867800713,-0.027445755,0.877952411,-0.141282871,0.162845001,-3.16E-05,0.029457771,0,0,0,0,0,0,784,2304,256,4,200704,200704,589824,0,589824,462422016,2.83%,991232,466.5123967,36,603979776,76.56%,256,256,256,9216,76.56%,0.00%,3,1,16,4,1,603979776,76.56%,2304,256,16,9216,76.56%,7056,0,0,0,0,0,0
107,layer3.2.conv3,ConvNd,"layer3.2.relu.Threshold, layer3.2.conv3.Parameter",1,256,14,14,1024,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,7.423689365,0.352577718,0.609876031,-5.290958405,4.89706564,0.002226921,0.500813699,-0.208132073,0.204495102,3.09E-05,0.044032186,0,0,0,0,0,0,784,256,1024,4,200704,802816,262144,0,262144,205520896,1.26%,1265664,162.381877,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,3,1,16,4,4,268435456,76.56%,256,256,16,4096,76.56%,3136,0,0,0,0,0,0
111,layer3.3.conv1,ConvNd,"layer3.2.relu.Threshold, layer3.3.conv1.Parameter",1,1024,14,14,256,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,18.77903748,0.898260967,1.269820597,-36.32994461,39.783535,0.0447238,4.302539942,-0.410475105,0.459874302,3.19E-05,0.088553196,0,0,0,0,0,0,784,1024,256,4,802816,200704,262144,0,262144,205520896,1.26%,1265664,162.381877,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,3,1,16,4,1,268435456,76.56%,1024,256,16,4096,76.56%,3136,0,0,0,0,0,0
114,layer3.3.conv2,ConvNd,"layer3.3.relu.Threshold, layer3.3.conv2.Parameter",1,256,14,14,256,14,14,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,8.047388077,0.348540949,0.616607605,-7.032710075,6.79668951,0.009041191,0.894770502,-0.14693965,0.157861993,2.38E-05,0.029445081,0,0,0,0,0,0,784,2304,256,4,200704,200704,589824,0,589824,462422016,2.83%,991232,466.5123967,36,603979776,76.56%,256,256,256,9216,76.56%,0.00%,3,1,16,4,1,603979776,76.56%,2304,256,16,9216,76.56%,7056,0,0,0,0,0,0
117,layer3.3.conv3,ConvNd,"layer3.3.relu.Threshold, layer3.3.conv3.Parameter",1,256,14,14,1024,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8.060853004,0.359145639,0.624054155,-5.037666798,5.238008976,-0.009580071,0.512126981,-0.202969655,0.206737146,-0.000104082,0.044206296,0,0,0,0,0,0,784,256,1024,4,200704,802816,262144,0,262144,205520896,1.26%,1265664,162.381877,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,3,1,16,4,4,268435456,76.56%,256,256,16,4096,76.56%,3136,0,0,0,0,0,0
121,layer3.4.conv1,ConvNd,"layer3.3.relu.Threshold, layer3.4.conv1.Parameter",1,1024,14,14,256,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,21.65948868,1.070286896,1.437132884,-49.1869278,42.05041504,0.120505563,4.939939621,-0.407537371,0.380547315,7.96E-05,0.088524462,0,0,0,0,0,0,784,1024,256,4,802816,200704,262144,0,262144,205520896,1.26%,1265664,162.381877,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,3,1,16,4,1,268435456,76.56%,1024,256,16,4096,76.56%,3136,0,0,0,0,0,0
124,layer3.4.conv2,ConvNd,"layer3.4.relu.Threshold, layer3.4.conv2.Parameter",1,256,14,14,256,14,14,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,8.362869263,0.351019775,0.612532959,-6.606656551,7.531116962,0.016123338,0.904516983,-0.144471064,0.134487495,1.47E-05,0.029489018,0,0,0,0,0,0,784,2304,256,4,200704,200704,589824,0,589824,462422016,2.83%,991232,466.5123967,36,603979776,76.56%,256,256,256,9216,76.56%,0.00%,3,1,16,4,1,603979776,76.56%,2304,256,16,9216,76.56%,7056,0,0,0,0,0,0
127,layer3.4.conv3,ConvNd,"layer3.4.relu.Threshold, layer3.4.conv3.Parameter",1,256,14,14,1024,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,6.367281914,0.361517076,0.604612503,-4.51724577,4.832093239,0.002843501,0.498475217,-0.219043031,0.210641399,2.83E-05,0.044210003,0,0,0,0,0,0,784,256,1024,4,200704,802816,262144,0,262144,205520896,1.26%,1265664,162.381877,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,3,1,16,4,4,268435456,76.56%,256,256,16,4096,76.56%,3136,0,0,0,0,0,0
131,layer3.5.conv1,ConvNd,"layer3.4.relu.Threshold, layer3.5.conv1.Parameter",1,1024,14,14,256,14,14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,25.37569046,1.226202613,1.585791589,-51.49811935,53.1997757,0.225001977,5.693977275,-0.383471549,0.389276236,0.000178259,0.088405933,0,0,0,0,0,0,784,1024,256,4,802816,200704,262144,0,262144,205520896,1.26%,1265664,162.381877,16,268435456,76.56%,256,256,256,4096,76.56%,0.00%,3,1,16,4,1,268435456,76.56%,1024,256,16,4096,76.56%,3136,0,0,0,0,0,0
134,layer3.5.conv2,ConvNd,"layer3.5.relu.Threshold, layer3.5.conv2.Parameter",1,256,14,14,256,14,14,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,8.1587286,0.353643072,0.619912129,-8.01775074,7.804677486,0.025428778,0.894812897,-0.140417948,0.130098447,3.46E-05,0.029458963,0,0,0,0,0,0,784,2304,256,4,200704,200704,589824,0,589824,462422016,2.83%,991232,466.5123967,36,603979776,76.56%,256,256,256,9216,76.56%,0.00%,3,1,16,4,1,603979776,76.56%,2304,256,16,9216,76.56%,7056,0,0,0,0,0,0
