num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
36,block1.layer.4.conv2,ConvNd,"block1.layer.4.relu.Threshold, block1.layer.4.conv2.Parameter",1,128,56,56,32,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,18.24154854,0.257890506,0.692602878,-18.43087387,16.86355591,-0.07352582,1.86464089,-0.31941089,0.362101287,-0.000354907,0.083485545,0,0,0,0,0,0,12544,1152,32,4,1605632,401408,36864,0,36864,462422016,3.44%,2043904,226.244489,245,4110417920,11.25%,256,256,256,62720,11.25%,-1.25%,49,0,0,49,1,3699376128,12.50%,1152,256,0,56448,12.50%,7056,0,0,0,0,0,0
40,block1.layer.5.conv1,ConvNd,"block1.layer.5.relu.Threshold, block1.layer.5.conv1.Parameter",1,224,56,56,128,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.22024727,0.241224978,0.732713333,-21.57356071,19.9902916,-0.030906228,1.385348085,-0.519087195,0.5166502,-0.000550557,0.125067463,0,0,0,0,0,0,12544,224,128,4,2809856,1605632,28672,0,28672,359661568,2.68%,4444160,80.92903226,49,822083584,43.75%,256,256,256,12544,43.75%,0.00%,49,0,0,49,1,719323136,50.00%,224,256,0,12544,43.75%,5488,0,0,0,0,0,0
43,block1.layer.5.conv2,ConvNd,"block1.layer.5.relu.Threshold, block1.layer.5.conv2.Parameter",1,128,56,56,32,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,11.20336151,0.256597095,0.648656257,-15.20655918,20.02780724,-0.026725016,1.764874237,-0.349331141,0.339960277,-0.000132611,0.083287678,0,0,0,0,0,0,12544,1152,32,4,1605632,401408,36864,0,36864,462422016,3.44%,2043904,226.244489,245,4110417920,11.25%,256,256,256,62720,11.25%,-1.25%,49,0,0,49,1,3699376128,12.50%,1152,256,0,56448,12.50%,7056,0,0,0,0,0,0
47,trans1.conv1,ConvNd,"trans1.relu.Threshold, trans1.conv1.Parameter",1,256,56,56,128,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.22024727,0.245407066,0.715832619,-18.76365852,22.4944458,0.042163123,1.607703826,-0.531737685,0.537747562,0.000969631,0.124830403,0,0,0,0,0,0,12544,256,128,4,3211264,1605632,32768,0,32768,411041792,3.06%,4849664,84.75675676,49,822083584,50.00%,256,256,256,12544,50.00%,0.00%,49,0,0,49,1,822083584,50.00%,256,256,0,12544,50.00%,6272,0,0,0,0,0,0
51,block2.layer.0.conv1,ConvNd,"block2.layer.0.relu.Threshold, block2.layer.0.conv1.Parameter",1,128,28,28,128,28,28,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8.436365128,0.283403549,0.675593322,-12.20601368,10.73813629,0.001609431,1.028211738,-0.492004573,0.483340263,-7.77548E-05,0.125956021,0,0,0,0,0,0,3136,128,128,4,401408,401408,16384,0,16384,51380224,0.38%,819200,62.72,13,218103808,23.56%,256,256,256,3328,23.56%,-0.94%,12,1,64,13,1,109051904,47.12%,128,256,64,3200,24.50%,784,0,0,0,0,0,0
54,block2.layer.0.conv2,ConvNd,"block2.layer.0.relu.Threshold, block2.layer.0.conv2.Parameter",1,128,28,28,32,28,28,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,9.982906342,0.283210559,0.667790092,-13.73093224,11.09483719,-0.104583215,1.676240662,-0.325830787,0.393317193,-0.000377101,0.083555577,0,0,0,0,0,0,3136,1152,32,4,401408,100352,36864,0,36864,115605504,0.86%,538624,214.6311787,65,1090519040,10.60%,256,256,256,16640,10.60%,-1.18%,12,1,64,13,1,981467136,11.78%,1152,256,64,14976,11.78%,1764,0,0,0,0,0,0
58,block2.layer.1.conv1,ConvNd,"block2.layer.1.relu.Threshold, block2.layer.1.conv1.Parameter",1,160,28,28,128,28,28,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8.436365128,0.288978019,0.668061432,-10.40793896,12.74443436,0.029618024,1.187366946,-0.500023305,0.45171541,0.000544423,0.124505914,0,0,0,0,0,0,3136,160,128,4,501760,401408,20480,0,20480,64225280,0.48%,923648,69.53436807,13,218103808,29.45%,256,256,256,3328,29.45%,-0.87%,12,1,64,13,1,136314880,47.12%,160,256,64,3232,30.32%,980,0,0,0,0,0,0
61,block2.layer.1.conv2,ConvNd,"block2.layer.1.relu.Threshold, block2.layer.1.conv2.Parameter",1,128,28,28,32,28,28,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,9.283159256,0.30534905,0.633639014,-12.7570467,11.37587261,0.056498524,1.650458227,-0.364569724,0.376599997,0.000206711,0.083790376,0,0,0,0,0,0,3136,1152,32,4,401408,100352,36864,0,36864,115605504,0.86%,538624,214.6311787,65,1090519040,10.60%,256,256,256,16640,10.60%,-1.18%,12,1,64,13,1,981467136,11.78%,1152,256,64,14976,11.78%,1764,0,0,0,0,0,0
65,block2.layer.2.conv1,ConvNd,"block2.layer.2.relu.Threshold, block2.layer.2.conv1.Parameter",1,192,28,28,128,28,28,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8.436365128,0.294595678,0.663895652,-12.15588474,13.64493847,0.036630109,1.283731477,-0.47412315,0.503371,0.000659828,0.125323704,0,0,0,0,0,0,3136,192,128,4,602112,401408,24576,0,24576,77070336,0.57%,1028096,74.96414343,13,218103808,35.34%,256,256,256,3328,35.34%,-0.69%,12,1,64,13,1,163577856,47.12%,192,256,64,3264,36.03%,1176,0,0,0,0,0,0
68,block2.layer.2.conv2,ConvNd,"block2.layer.2.relu.Threshold, block2.layer.2.conv2.Parameter",1,128,28,28,32,28,28,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,9.011494637,0.301653546,0.657603177,-11.33460999,12.1770792,-0.114733495,1.702610753,-0.321404845,0.345751733,-0.000152015,0.083398142,0,0,0,0,0,0,3136,1152,32,4,401408,100352,36864,0,36864,115605504,0.86%,538624,214.6311787,65,1090519040,10.60%,256,256,256,16640,10.60%,-1.18%,12,1,64,13,1,981467136,11.78%,1152,256,64,14976,11.78%,1764,0,0,0,0,0,0
72,block2.layer.3.conv1,ConvNd,"block2.layer.3.relu.Threshold, block2.layer.3.conv1.Parameter",1,224,28,28,128,28,28,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,10.06185818,0.296975892,0.662167484,-17.39394951,14.67320347,-0.043271767,1.352190636,-0.496898919,0.523411453,-0.000711174,0.124283477,0,0,0,0,0,0,3136,224,128,4,702464,401408,28672,0,28672,89915392,0.67%,1132544,79.39240506,13,218103808,41.23%,256,256,256,3328,41.23%,-0.40%,12,1,64,13,1,190840832,47.12%,224,256,64,3296,41.63%,1372,0,0,0,0,0,0
75,block2.layer.3.conv2,ConvNd,"block2.layer.3.relu.Threshold, block2.layer.3.conv2.Parameter",1,128,28,28,32,28,28,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,8.239328384,0.302348715,0.636897431,-12.12232876,10.73926353,-0.135309848,1.652411759,-0.33098498,0.384304345,-0.000493542,0.083899809,0,0,0,0,0,0,3136,1152,32,4,401408,100352,36864,0,36864,115605504,0.86%,538624,214.6311787,65,1090519040,10.60%,256,256,256,16640,10.60%,-1.18%,12,1,64,13,1,981467136,11.78%,1152,256,64,14976,11.78%,1764,0,0,0,0,0,0
